Year,Month,SNAE
2003,8,148.537
2003,9,150.254
2003,10,148.018
2003,11,138.426
2003,12,147.458
2004,1,146.987
2004,2,151.982
2004,3,155.745
2004,4,157.092
2004,5,159.129
2004,6,159.916
2004,7,157.119
2004,8,158.925
2004,9,159.831
2004,10,163.889
2004,11,158.613
2004,12,160.103
2005,1,152.693
2005,2,157.77
2005,3,158.861
2005,4,160.661
2005,5,156.905
2005,6,160.436
2005,7,160.838
2005,8,158.884
2005,9,154.579
2005,10,162.016
2005,11,163.98
2005,12,162.634
2006,1,163.656
2006,2,166.899
2006,3,168.202
2006,4,168.979
2006,5,170.654
2006,6,171.605
2006,7,169.637
2006,8,168.462
2006,9,169.604
2006,10,171.614
2006,11,170.46
2006,12,166.782
2007,1,169.788
2007,2,170.109
2007,3,170.977
2007,4,172.456
2007,5,172.895
2007,6,172.843
2007,7,173.153
2007,8,173.15
2007,9,173.743
2007,10,173.852
2007,11,172.175
2007,12,173.867
2008,1,172.309
2008,2,172.171
2008,3,171.414
2008,4,171.802
2008,5,171.876
2008,6,172.688
2008,7,174.067
2008,8,175.204
2008,9,175.75
2008,10,175.501
2008,11,176.067
2008,12,176.572
2009,1,176.427
2009,2,177.526
2009,3,178.334
2009,4,178.875
2009,5,178.06
2009,6,179.084
2009,7,179.643
2009,8,179.286
2009,9,179.626
2009,10,179.291
2009,11,178.9
2009,12,179.589
2010,1,177.589
2010,2,175.06
2010,3,174.501
2010,4,172.034
2010,5,173.171
2010,6,173.933
2010,7,175.235
2010,8,173.432
2010,9,172.949
2010,10,173.446
2010,11,172.659
2010,12,170.73
2011,1,171.968
2011,2,172.103
2011,3,169.474
2011,4,165.895
2011,5,168.851
2011,6,164.317
2011,7,165.724
2011,8,166.701
2011,9,166.145
2011,10,165.031
2011,11,166.39
2011,12,168.791
2012,1,167.749
2012,2,164.395
2012,3,159.704
2012,4,166.224
2012,5,166.701
2012,6,163.757
2012,7,160.257
2012,8,160.775
2012,9,163.226
2012,10,163.058
2012,11,162.623
2012,12,163.703
2013,1,164.79
2013,2,165.23
2013,3,162.968
2013,4,162.242
2013,5,157.886
2013,6,156.205
2013,7,159.997
2013,8,160.078
2013,9,159.953
2013,10,161.89
2013,11,160.797
2013,12,159.046
2014,1,158.951
2014,2,156.867
2014,3,157.431
2014,4,157.867
2014,5,159.689
2014,6,158.122
2014,7,0
2014,8,161.446
2014,9,159.253
2014,10,159.58
2014,11,158.268
2014,12,154.756
2015,1,157.01
2015,2,158.431
2015,3,156.18
2015,4,156.772
2015,5,160.173
2015,6,159.091
2015,7,161.593
2015,8,162.457
2015,9,161.11
2015,10,161.026
2015,11,161.046
2015,12,162.576
