Year,Month,SNAE
1986,11,170.18
1986,12,171.817
1987,1,172.652
1987,2,175.074
1987,3,175.748
1987,4,175.547
1987,5,174.651
1987,6,172.623
1987,7,171.541
1987,8,169.183
1987,9,163.308
1987,10,164.609
1987,11,163.253
1987,12,163.061
1988,1,159.701
1988,2,162.433
1988,3,162.029
1988,4,161.539
1988,5,162.74
1988,6,163.167
1988,7,161.416
1988,8,160.1
1988,9,160.588
1988,10,159.252
1988,11,158.7
1988,12,155.792
1989,1,0
1989,2,151.327
1989,3,144.008
1989,4,145.531
1989,5,143.282
1989,6,144.206
1989,7,149.513
1989,8,147.229
1989,9,145.292
1989,10,141.7
1989,11,137.087
1989,12,139.14
1990,1,141.632
1990,2,142.87
1990,3,141.125
1990,4,137.764
1990,5,137.464
1990,6,138.178
1990,7,142.586
1990,8,141.337
1990,9,144.38
1990,10,146.544
1990,11,148.464
1990,12,148.453
1991,1,151.696
1991,2,152.016
1991,3,141.691
1991,4,143.149
1991,5,144.637
1991,6,128.509
1991,7,129.656
1991,8,137.777
1991,9,144.152
1991,10,145.619
1991,11,145.831
1991,12,147.579
1992,1,147.783
1992,2,146.906
1992,3,150.546
1992,4,154.498
1992,5,152.585
1992,6,156.655
1992,7,159.787
1992,8,159.525
1992,9,158.543
1992,10,160.625
1992,11,159.639
1992,12,160.982
1993,1,160.146
1993,2,160.545
1993,3,159.601
1993,4,162.121
1993,5,163.68
1993,6,165.008
1993,7,166.156
1993,8,166.144
1993,9,167.206
1993,10,167.071
1993,11,166.775
1993,12,166.372
1994,1,167.552
1994,2,164.726
1994,3,165.04
1994,4,164.911
1994,5,166.285
1994,6,166.637
1994,7,168.697
1994,8,169.809
1994,9,170.485
1994,10,169.97
1994,11,169.489
1994,12,168.98
1995,1,0
1995,2,0
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,0
1995,8,0
1995,9,0
1995,10,0
1995,11,0
1995,12,0
1996,1,0
1996,2,0
1996,3,0
1996,4,0
1996,5,0
1996,6,0
1996,7,0
1996,8,0
1996,9,0
1996,10,0
1996,11,0
1996,12,0
1997,1,0
1997,2,0
1997,3,0
1997,4,171.827
1997,5,171.965
1997,6,171.701
1997,7,172.835
