Year,Month,Data
1996,6,1.448275862
1996,7,-0.233333333
1996,8,-4.862068966
1996,9,0.5
1996,10,2
1996,11,-2.571428571
1996,12,-5.611111111
1997,1,6.117647059
1997,2,-4.321428571
1997,3,-6.178571429
1997,4,-4.37037037
1997,5,-3.096774194
1997,6,2.107142857
1997,7,-2.689655172
1997,8,2.321428571
1997,9,12.4
1997,10,7.80952381
1997,11,0.923076923
1997,12,2.434782609
1998,1,2.461538462
1998,2,9.25
1998,3,-2.333333333
1998,4,8.851851852
1998,5,4.176470588
1998,6,-0.166666667
1998,7,5.034482759
1998,8,1.967741935
1998,9,4.72
1998,10,2.392857143
1998,11,6.210526316
1998,12,0.68
1999,1,4.904761905
1999,2,5.105263158
1999,3,-23.77777778
1999,4,-1.458333333
1999,5,-0.714285714
1999,6,3.821428571
1999,7,9.129032258
1999,8,23.85714286
1999,9,13.03448276
1999,10,-2.533333333
1999,11,15.95238095
1999,12,11.36
2000,1,4.941176471
2000,2,-9.7
2000,3,7.909090909
2000,4,4.36
2000,5,6.269230769
2000,6,-5
2000,7,6.32
2000,8,6.777777778
2000,9,10.04545455
2000,10,10.33333333
2000,11,11.34782609
2000,12,-7.625
2001,1,-0.894736842
2001,2,-3.928571429
2001,3,0.958333333
2001,4,0.653846154
2001,5,1.903225806
2001,6,2.230769231
2001,7,-1.433333333
2001,8,6.466666667
2001,9,11.6
2001,10,-1.24137931
2001,11,4.19047619
2001,12,11.125
2002,1,10.34782609
2002,2,12.56521739
2002,3,13.44
2002,4,2.652173913
2002,5,6.137931034
2002,6,6.6
2002,7,8.96
2002,8,26.06451613
2002,9,17.37931034
2002,10,9.192307692
2002,11,16.54545455
2002,12,-21.11111111
2003,1,-3.608695652
2003,2,-23.38095238
2003,3,-24.84615385
2003,4,14.57894737
2003,5,-4.6
2003,6,10
2003,7,-1.448275862
2003,8,-4.709677419
2003,9,-6.6
2003,10,-6.103448276
2003,11,-16.26315789
2003,12,-5.166666667
2004,1,0.777777778
2004,2,-1.083333333
2004,3,-4.071428571
2004,4,-7.692307692
2004,5,-11.48275862
2004,6,-1.379310345
2004,7,-6.533333333
2004,8,0.133333333
2004,9,6.366666667
2004,10,-3.92
2004,11,-7.173913043
2004,12,9.714285714
2005,1,-2.533333333
2005,2,-7.538461538
2005,3,-6.315789474
2005,4,8.238095238
2005,5,0
2005,6,-5.384615385
2005,7,-3.466666667
2005,8,2.9
2005,9,4.407407407
2005,10,-0.333333333
2005,11,11.46666667
2005,12,15.16666667
2006,1,6.066666667
2006,2,10.42105263
2006,3,-3.818181818
2006,4,3.615384615
2006,5,3.76
2006,6,-1.074074074
2006,7,-0.233333333
2006,8,6.677419355
2006,9,2.448275862
2006,10,1.576923077
2006,11,11.22222222
2006,12,10.82352941
2007,1,0.041666667
2007,2,-4.7
2007,3,0.12
2007,4,-1.380952381
2007,5,1.76
2007,6,-0.2
2007,7,-2.433333333
