Data,IRK3
01/04/2011,424.197
01/05/2011,406.183
01/06/2011,421.837
01/07/2011,420.433
01/08/2011,422.943
01/09/2011,423.449
01/10/2011,420.276
01/11/2011,426.617
01/12/2011,428.303
01/01/2012,434.177
01/02/2012,448.04
01/03/2012,412.577
01/04/2012,417.108
01/08/2012,407.934
01/08/2014,410.215
01/09/2014,406.359
01/10/2014,405.146
01/11/2014,405.638
01/12/2014,395.831
01/01/2015,403.159
01/02/2015,402.432
01/03/2015,394.435
01/04/2015,398.402
01/05/2015,404.147
01/06/2015,392.555
01/07/2015,398.075
01/08/2015,406.47
01/09/2015,407.919
01/10/2015,409.209
01/11/2015,411.014
01/03/2017,50.836
01/04/2017,50.507
01/05/2017,50.59
01/06/2017,50.644
01/07/2017,50.333
01/08/2017,49.062
01/09/2017,49.905
01/10/2017,50.184
01/11/2017,50.393
01/01/2018,28.725
01/02/2018,50.833
01/03/2018,45.801
01/04/2018,49.279
01/05/2018,45.563
01/06/2018,46.26
01/07/2018,538.02
01/09/2018,52.036
01/10/2018,52.285
01/11/2018,52.556
01/12/2018,51.702
01/01/2019,52.39
01/02/2019,53.064
01/03/2019,52.969
01/04/2019,52.835
01/05/2019,52.25
01/06/2019,52.752
01/07/2019,52.815
01/08/2019,52.359
01/09/2019,52.072
01/10/2019,52.782
01/11/2019,51.348
01/12/2019,54.581
01/02/2020,54.826
01/03/2020,54.704
01/04/2020,54.428
01/05/2020,53.413
01/06/2020,53.423
01/07/2020,54.375
01/08/2020,54.247
01/09/2020,52.987
01/10/2020,53.692
01/11/2020,54.409
01/12/2020,53.761
01/01/2021,54.027
01/02/2021,54.121
01/03/2021,54.49
01/04/2021,54.01
01/05/2021,53.962
01/06/2021,54.072
01/07/2021,54.027
01/08/2021,54.007
01/11/2021,54.067
01/12/2021,54.135
01/01/2022,53.928
01/02/2022,53.737
01/03/2022,53.45
01/04/2022,52.996
01/05/2022,52.272
01/06/2022,51.512
01/07/2022,51.908
