Year,Month,KERG
2011,6,218.317
2011,7,221.716
2011,8,221.73
2011,9,221.357
2011,10,220.743
2011,11,222.814
2011,12,226.421
2012,1,224.373
2012,2,221.773
2012,3,214.99
2012,4,222.135
2012,5,222.424
2012,6,219.67
2012,7,214.24
2012,8,214.96
2012,9,217.752
2012,10,217.407
2012,11,217.774
2012,12,219.529
2013,1,221.902
2013,2,222.404
2013,3,219.254
2013,4,219.407
2013,5,213.044
2013,6,212.262
2013,7,214.827
2013,8,215.567
2013,9,216.357
2013,10,218.662
2013,11,217.876
2013,12,216.342
2014,1,215.8
2014,2,213.488
2014,3,214.505
2014,4,215.165
2014,5,216.37
2014,6,213.47
2014,7,215.095
2014,8,217.851
2014,9,215.65
2014,10,215.874
2014,11,214.787
2014,12,210.19
2015,1,212.796
2015,2,212.946
2015,3,209.657
2015,4,211.308
2015,5,214.393
2015,6,214.063
2015,7,217.382
2015,8,217.657
2015,9,217.533
2015,10,217.787
2015,11,218.411
2015,12,220.256
2016,1,221.657
2016,2,0
2016,3,0
2016,4,224.112
2016,5,226.066
2016,6,227.47
2016,7,226.851
2016,8,228.527
2016,9,228.287
2016,10,230.111
2016,11,230.901
2016,12,231.767
2017,1,232.742
2017,2,233.292
2017,3,233.384
2017,4,231.78
2017,5,232.555
2017,6,233.745
2017,7,232.093
2017,8,229.604
2017,9,228.228
2017,10,229.822
2017,11,232.702
2017,12,233.475
2018,1,234.277
2018,2,234.571
2018,3,234.173
2018,4,235.143
2018,5,234.907
2018,6,236.056
2018,7,236.202
2018,8,235.972
2018,9,235.864
2018,10,236.417
2018,11,235.895
2018,12,236.163
2019,1,235.798
2019,2,235.678
2019,3,236.376
2019,4,236.773
2019,5,234.318
2019,6,236.545
2019,7,236.253
2019,8,236.537
2019,9,237.212
2019,10,237.064
2019,11,237.606
2019,12,237.362
2020,1,237.332
2020,2,237.368
2020,3,238.239
2020,4,238.505
2020,5,238.266
2020,6,238.979
2020,7,238.461
2020,8,238.555
2020,9,238.304
2020,10,237.576
2020,11,237.789
2020,12,235.836
2021,1,236.248
2021,2,235.065
2021,3,236.365
2021,4,236.485
2021,5,236.993
2021,6,237.319
2021,7,236.175
2021,8,236.888
2021,9,236.468
2021,10,236.059
2021,11,234.279
2021,12,235.532
2022,1,234.766
2022,2,232.845
2022,3,232.336
2022,4,230.996
2022,5,227.914
2022,6,225.392
2022,7,223.569
